_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,SLBMH_TOT_VAL,VWAP,mTIMESTAMP,CA
6428364bb12dd2000783b894,WIPRO,EQ,N,378.35,373.85,377.2,376.5,376.85,372.85,4522141,1700715973.7,616.0,370.0,61933,INE075A01022,2023-03-17,2023-03-16T18:30:00.000Z,2023-04-01T13:48:59.061Z,2023-04-01T13:48:59.061Z,0,,376.09,17-Mar-2023,
641304fd5a79c20007fb8a2e,WIPRO,EQ,N,376.7,370.0,375.35,372.85,373.8,375.75,3843310,1433719430.75,616.0,370.0,97120,INE075A01022,2023-03-16,2023-03-15T18:30:00.000Z,2023-03-16T12:01:01.965Z,2023-03-16T12:01:01.965Z,0,,373.04,16-Mar-2023,
6411b37dbe244d00086a7208,WIPRO,EQ,N,383.7,374.9,383.7,375.75,376.15,379.45,3843963,1453576358.8,616.0,372.4,115802,INE075A01022,2023-03-15,2023-03-14T18:30:00.000Z,2023-03-15T12:01:01.963Z,2023-03-15T12:01:01.963Z,0,,378.15,15-Mar-2023,
641061fe5cd8ce0007c669ae,WIPRO,EQ,N,387.15,377.35,386.55,379.45,380.0,385.45,4047426,1541079717.2,616.0,372.4,86623,INE075A01022,2023-03-14,2023-03-13T18:30:00.000Z,2023-03-14T12:01:02.106Z,2023-03-14T12:01:02.106Z,0,,380.76,14-Mar-2023,
640f107ef9a53c00076d4d96,WIPRO,EQ,N,392.6,383.75,389.0,385.45,386.25,389.1,2991260,1158697667.2,616.0,372.4,65594,INE075A01022,2023-03-13,2023-03-12T18:30:00.000Z,2023-03-13T12:01:02.078Z,2023-03-13T12:01:02.078Z,0,,387.36,13-Mar-2023,
6428361acad839000735faef,WIPRO,EQ,N,389.9,386.6,387.9,389.1,389.9,390.1,2283698,887113392.4,616.0,372.4,52373,INE075A01022,2023-03-10,2023-03-09T18:30:00.000Z,2023-04-01T13:48:10.676Z,2023-04-01T13:48:10.676Z,0,,388.45,10-Mar-2023,
6409ca609d5f8e0007aafdd6,WIPRO,EQ,N,393.85,389.6,392.8,390.1,390.3,392.6,2078527,813257570.2,616.0,372.4,49228,INE075A01022,2023-03-09,2023-03-08T18:30:00.000Z,2023-03-09T12:00:32.391Z,2023-03-09T12:00:32.391Z,0,,391.27,09-Mar-2023,
640878fd75b3490007547e5e,WIPRO,EQ,N,393.0,388.85,391.65,392.6,392.55,393.75,2454421,960864458.15,616.0,372.4,54654,INE075A01022,2023-03-08,2023-03-07T18:30:00.000Z,2023-03-08T12:01:01.973Z,2023-03-08T12:01:01.973Z,0,,391.48,08-Mar-2023,
642836106d709e0007ede406,WIPRO,EQ,N,396.65,392.1,392.45,393.75,393.3,390.45,3363861,1328399751.75,616.0,372.4,49290,INE075A01022,2023-03-06,2023-03-05T18:30:00.000Z,2023-04-01T13:48:00.291Z,2023-04-01T13:48:00.291Z,0,,394.9,06-Mar-2023,
6428360916ab0d00071bc85a,WIPRO,EQ,N,391.45,389.1,390.6,390.45,390.5,388.05,2196968,857730782.3,616.0,372.4,46017,INE075A01022,2023-03-03,2023-03-02T18:30:00.000Z,2023-04-01T13:47:53.922Z,2023-04-01T13:47:53.922Z,0,,390.42,03-Mar-2023,
64008ffd4d52cc0007dca717,WIPRO,EQ,N,390.35,387.3,388.7,388.05,388.0,390.95,2219486,862227724.55,616.0,372.4,51060,INE075A01022,2023-03-02,2023-03-01T18:30:00.000Z,2023-03-02T12:01:01.940Z,2023-03-02T12:01:01.940Z,0,,388.48,02-Mar-2023,
