_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,SLBMH_TOT_VAL,VWAP,mTIMESTAMP
6428364bb12dd2000783bac6,INDHOTEL,EQ,N,324.2,319.05,322.55,321.85,320.75,320.9,3180834,1023468190.25,349,200.4,26957,INE053A01029,2023-03-17,2023-03-16T18:30:00.000Z,2023-04-01T13:48:59.655Z,2023-04-01T13:48:59.655Z,0,,321.76,17-Mar-2023
641304fe5a79c20007fb8c59,INDHOTEL,EQ,N,321.9,312.15,313.15,320.9,321.0,315.65,2239532,712203922.85,349,200.4,38526,INE053A01029,2023-03-16,2023-03-15T18:30:00.000Z,2023-03-16T12:01:02.447Z,2023-03-16T12:01:02.447Z,0,,318.01,16-Mar-2023
6411b37ebe244d00086a7436,INDHOTEL,EQ,N,318.95,314.0,317.0,315.65,314.6,315.65,1572618,496740669.15,349,200.4,21008,INE053A01029,2023-03-15,2023-03-14T18:30:00.000Z,2023-03-15T12:01:02.469Z,2023-03-15T12:01:02.469Z,0,,315.87,15-Mar-2023
641061fe5cd8ce0007c66c0a,INDHOTEL,EQ,N,316.75,306.7,312.1,315.65,314.0,312.15,2813465,877050728.55,349,200.4,35763,INE053A01029,2023-03-14,2023-03-13T18:30:00.000Z,2023-03-14T12:01:02.626Z,2023-03-14T12:01:02.626Z,0,,311.73,14-Mar-2023
640f107ef9a53c00076d4fcc,INDHOTEL,EQ,N,318.3,310.55,317.35,312.15,312.0,317.35,2251942,708150776.2,349,200.4,27060,INE053A01029,2023-03-13,2023-03-12T18:30:00.000Z,2023-03-13T12:01:02.611Z,2023-03-13T12:01:02.611Z,0,,314.46,13-Mar-2023
6428361bcad839000735fd09,INDHOTEL,EQ,N,321.5,313.4,321.5,317.35,317.55,321.8,1983100,628024919.65,349,180.6,25502,INE053A01029,2023-03-10,2023-03-09T18:30:00.000Z,2023-04-01T13:48:11.230Z,2023-04-01T13:48:11.230Z,0,,316.69,10-Mar-2023
6409ca609d5f8e0007aafffd,INDHOTEL,EQ,N,330.7,321.05,327.2,321.8,322.0,327.0,3685557,1202373252.9,349,180.6,50202,INE053A01029,2023-03-09,2023-03-08T18:30:00.000Z,2023-03-09T12:00:32.938Z,2023-03-09T12:00:32.938Z,0,,326.24,09-Mar-2023
640878fe75b3490007548085,INDHOTEL,EQ,N,327.75,318.05,319.7,327.0,327.2,319.7,2310325,748193735.35,349,180.6,30926,INE053A01029,2023-03-08,2023-03-07T18:30:00.000Z,2023-03-08T12:01:02.528Z,2023-03-08T12:01:02.528Z,0,,323.85,08-Mar-2023
642836106d709e0007ede641,INDHOTEL,EQ,N,322.5,317.3,319.3,319.7,319.25,318.05,2872021,919784671.1,349,180.6,27491,INE053A01029,2023-03-06,2023-03-05T18:30:00.000Z,2023-04-01T13:48:00.827Z,2023-04-01T13:48:00.827Z,0,,320.26,06-Mar-2023
6428360a16ab0d00071bca7d,INDHOTEL,EQ,N,320.0,315.5,316.05,318.05,318.95,315.1,2452201,780877686.4,349,180.6,25650,INE053A01029,2023-03-03,2023-03-02T18:30:00.000Z,2023-04-01T13:47:54.450Z,2023-04-01T13:47:54.450Z,0,,318.44,03-Mar-2023
64008ffe4d52cc0007dca99f,INDHOTEL,EQ,N,318.5,313.65,315.8,315.1,315.3,315.0,1906846,602713878.35,349,180.6,25917,INE053A01029,2023-03-02,2023-03-01T18:30:00.000Z,2023-03-02T12:01:02.495Z,2023-03-02T12:01:02.495Z,0,,316.08,02-Mar-2023
63ff3e7e19ec0c00075224df,INDHOTEL,EQ,N,316.9,309.35,312.0,315.0,315.8,310.75,1756767,552682137.9,349,180.6,27120,INE053A01029,2023-03-01,2023-02-28T18:30:00.000Z,2023-03-01T12:01:02.219Z,2023-03-01T12:01:02.219Z,0,,314.6,01-Mar-2023
63fdece0e911310006833164,INDHOTEL,EQ,N,318.35,308.7,316.45,310.75,310.2,315.1,6413231,2000443468.3,349,180.6,33279,INE053A01029,2023-02-28,2023-02-27T18:30:00.000Z,2023-02-28T12:00:32.300Z,2023-02-28T12:00:32.300Z,0,,311.92,28-Feb-2023
63fc9b60dc45a5000731bf4e,INDHOTEL,EQ,N,318.0,307.45,310.1,315.1,315.15,309.6,2772486,864700396.0,349,180.6,25705,INE053A01029,2023-02-27,2023-02-26T18:30:00.000Z,2023-02-27T12:00:32.355Z,2023-02-27T12:00:32.355Z,0,,311.89,27-Feb-2023
