_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,SLBMH_TOT_VAL,VWAP,mTIMESTAMP
64008ffd4d52cc0007dca6eb,ICICIBANK,EQ,N,861.85,851.1,853.0,854.0,852.1,856.3,12327141,10577465279.1,958.2,642.15,186314,INE090A01021,2023-03-02,2023-03-01T18:30:00.000Z,2023-03-02T12:01:01.906Z,2023-03-02T12:01:01.906Z,0,,858.06,02-Mar-2023
63ff3e7d19ec0c000752228f,ICICIBANK,EQ,N,864.0,851.85,864.0,856.3,856.1,854.85,11015843,9443055261.2,958.2,642.15,217804,INE090A01021,2023-03-01,2023-02-28T18:30:00.000Z,2023-03-01T12:01:01.610Z,2023-03-01T12:01:01.610Z,0,,857.22,01-Mar-2023
63fdecdfe911310006832f15,ICICIBANK,EQ,N,858.0,850.0,854.9,854.85,854.15,856.4,19600146,16733073110.85,958.2,642.15,208771,INE090A01021,2023-02-28,2023-02-27T18:30:00.000Z,2023-02-28T12:00:31.766Z,2023-02-28T12:00:31.766Z,0,,853.72,28-Feb-2023
63fc9b5fdc45a5000731bcec,ICICIBANK,EQ,N,858.3,833.55,833.55,856.4,857.9,839.7,14422574,12243799621.55,958.2,642.15,205067,INE090A01021,2023-02-27,2023-02-26T18:30:00.000Z,2023-02-27T12:00:31.814Z,2023-02-27T12:00:31.814Z,0,,848.93,27-Feb-2023
642835d330507300074cb735,ICICIBANK,EQ,N,845.6,835.55,843.95,839.7,839.95,839.75,8246139,6928911922.7,958.2,642.15,174647,INE090A01021,2023-02-24,2023-02-23T18:30:00.000Z,2023-04-01T13:46:59.301Z,2023-04-01T13:46:59.301Z,0,,840.26,24-Feb-2023
63f7557e4ddd6900072793ca,ICICIBANK,EQ,N,844.45,833.55,836.55,839.75,840.7,839.25,11743574,9849307806.7,958.2,642.15,165727,INE090A01021,2023-02-23,2023-02-22T18:30:00.000Z,2023-02-23T12:01:02.404Z,2023-02-23T12:01:02.404Z,0,,838.7,23-Feb-2023
63f60655ae250300083de0b4,ICICIBANK,EQ,N,854.1,834.75,851.25,839.25,837.45,854.2,13880984,11724069965.1,958.2,642.15,190655,INE090A01021,2023-02-22,2023-02-21T18:30:00.000Z,2023-02-22T12:11:01.676Z,2023-02-22T12:11:01.676Z,0,,844.61,22-Feb-2023
63f4b27da27ddb0007e3b8ca,ICICIBANK,EQ,N,859.45,846.85,854.4,854.2,854.85,852.1,11704445,9990567240.3,958.2,642.15,233352,INE090A01021,2023-02-21,2023-02-20T18:30:00.000Z,2023-02-21T12:01:01.707Z,2023-02-21T12:01:01.707Z,0,,853.57,21-Feb-2023
63f360e234198a00062fb554,ICICIBANK,EQ,N,866.55,850.25,862.65,852.1,853.15,862.65,9013430,7730821931.2,958.2,642.15,183409,INE090A01021,2023-02-20,2023-02-19T18:30:00.000Z,2023-02-20T12:00:34.152Z,2023-02-20T12:00:34.152Z,0,,857.7,20-Feb-2023
642835d97ae9d000071163fb,ICICIBANK,EQ,N,867.55,855.15,867.55,862.65,862.0,869.45,9990618,8604355548.4,958.2,642.15,166073,INE090A01021,2023-02-17,2023-02-16T18:30:00.000Z,2023-04-01T13:47:05.819Z,2023-04-01T13:47:05.819Z,0,,861.24,17-Feb-2023
63ee1adfe9845a00077c19c0,ICICIBANK,EQ,N,877.8,864.85,875.95,869.45,866.85,870.8,10715685,9345945594.45,958.2,642.15,294581,INE090A01021,2023-02-16,2023-02-15T18:30:00.000Z,2023-02-16T12:00:31.866Z,2023-02-16T12:00:31.866Z,0,,872.17,16-Feb-2023
